,Sale_Price,No of Bedrooms,No of Bathrooms,Flat Area (in Sqft),Lot Area (in Sqft),No of Floors,No of Times Visited,Overall Grade,Area of the House from Basement (in Sqft),Basement Area (in Sqft),Age of House (in Years),Latitude,Longitude,Living Area after Renovation (in Sqft),Lot Area after Renovation (in Sqft),Year Since Renovation,Condition_of_the_House_Excellent,Condition_of_the_House_Fair,Condition_of_the_House_Good,Condition_of_the_House_Okay,Ever_Renovated_Yes,Waterfront_View_Yes,Zipcode_Group_Zipcode_Group_1,Zipcode_Group_Zipcode_Group_2,Zipcode_Group_Zipcode_Group_3,Zipcode_Group_Zipcode_Group_4,Zipcode_Group_Zipcode_Group_5,Zipcode_Group_Zipcode_Group_6,Zipcode_Group_Zipcode_Group_7,Zipcode_Group_Zipcode_Group_8,Zipcode_Group_Zipcode_Group_9
0,221900.0,3,1.0,1180.0,5650.0,1.0,0,7,1180.0,0,63,47.5112,-122.257,1340.0,5650,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,538000.0,3,2.25,2570.0,7242.0,2.0,0,7,2170.0,400,67,47.721000000000004,-122.319,1690.0,7639,26,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
2,180000.0,2,1.0,770.0,10000.0,1.0,0,6,770.0,0,85,47.7379,-122.23299999999999,2720.0,8062,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3,604000.0,4,3.0,1960.0,5000.0,1.0,0,7,1050.0,910,53,47.5208,-122.39299999999999,1360.0,5000,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,510000.0,3,2.0,1680.0,8080.0,1.0,0,8,1680.0,0,31,47.6168,-122.045,1800.0,7503,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
5,1129575.0,4,4.5,5420.0,101930.0,1.0,0,10,3890.0,1530,17,47.6561,-122.005,4760.0,101930,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
6,257500.0,3,2.25,1715.0,6819.0,2.0,0,7,1715.0,0,23,47.3097,-122.32700000000001,2238.0,6819,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,291850.0,3,1.5,1060.0,9711.0,1.0,0,7,1060.0,0,55,47.4095,-122.315,1650.0,9711,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,229500.0,3,1.0,1780.0,7470.0,1.0,0,7,1050.0,730,58,47.5123,-122.337,1780.0,8113,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
9,323000.0,3,2.5,1890.0,6560.0,2.0,0,7,1890.0,0,15,47.3684,-122.031,2390.0,7570,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
10,662500.0,3,2.5,3560.0,9796.0,1.0,0,8,1860.0,1700,53,47.6007,-122.145,2210.0,8925,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11,468000.0,2,1.0,1160.0,6000.0,1.0,0,7,860.0,300,76,47.69,-122.292,1330.0,6000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
12,310000.0,3,1.0,1430.0,19901.0,1.5,0,7,1430.0,0,91,47.7558,-122.229,1780.0,12697,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
13,400000.0,3,1.75,1370.0,9680.0,1.0,0,7,1370.0,0,41,47.6127,-122.045,1370.0,10208,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
14,530000.0,5,2.0,1810.0,4850.0,1.5,0,7,1810.0,0,118,47.67,-122.39399999999999,1360.0,4850,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
15,650000.0,4,3.0,2950.0,5000.0,2.0,3,9,1980.0,970,39,47.5714,-122.375,2140.0,4000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
16,395000.0,3,2.0,1890.0,14040.0,2.0,0,7,1890.0,0,24,47.7277,-121.962,1890.0,14018,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
17,485000.0,4,1.0,1600.0,4300.0,1.5,0,7,1600.0,0,102,47.6648,-122.34299999999999,1610.0,4300,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
18,189000.0,2,1.0,1200.0,9850.0,1.0,0,7,1200.0,0,97,47.3089,-122.21,1060.0,5095,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,230000.0,3,1.0,1250.0,9774.0,1.0,0,7,1250.0,0,49,47.3343,-122.306,1280.0,8850,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,385000.0,4,1.75,1620.0,4980.0,1.0,0,7,860.0,760,71,47.7025,-122.34100000000001,1400.0,4980,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
21,1129575.0,3,2.75,3050.0,44867.0,1.0,4,9,2330.0,720,50,47.5316,-122.23299999999999,4110.0,20336,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
22,285000.0,5,2.5,2270.0,6300.0,2.0,0,8,2270.0,0,23,47.3266,-122.169,2240.0,7005,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
23,252700.0,2,1.5,1070.0,9643.0,1.0,0,7,1070.0,0,33,47.3533,-122.166,1220.0,8386,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,329000.0,3,2.25,2450.0,6500.0,2.0,0,8,2450.0,0,33,47.3739,-122.17200000000001,2200.0,6865,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,233000.0,3,2.0,1710.0,4697.0,1.5,0,6,1710.0,0,77,47.3048,-122.21799999999999,1030.0,4705,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,937000.0,3,1.75,2450.0,2691.0,2.0,0,8,1750.0,700,103,47.6386,-122.36,1760.0,3573,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
27,667000.0,3,1.0,1400.0,1581.0,1.5,0,8,1400.0,0,109,47.6221,-122.314,1860.0,3861,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,438000.0,3,1.75,1520.0,6380.0,1.0,0,7,790.0,730,70,47.695,-122.304,1520.0,6235,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
29,719000.0,4,2.5,2570.0,7173.0,2.0,0,8,2570.0,0,13,47.7073,-122.11,2630.0,6026,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
30,580500.0,3,2.5,2320.0,3980.0,2.0,0,8,2320.0,0,15,47.5391,-122.07,2580.0,3980,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
31,280000.0,2,1.5,1190.0,1265.0,3.0,0,7,1190.0,0,13,47.7274,-122.35700000000001,1390.0,1756,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
32,687500.0,4,1.75,2330.0,5000.0,1.5,0,7,1510.0,820,89,47.6823,-122.368,1460.0,5000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
33,535000.0,3,1.0,1090.0,3000.0,1.5,0,8,1090.0,0,89,47.6889,-122.375,1570.0,5080,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
34,322500.0,4,2.75,2060.0,6659.0,1.0,0,7,1280.0,780,37,47.4276,-122.15700000000001,2020.0,8720,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
35,696000.0,3,2.5,2300.0,3060.0,1.5,0,8,1510.0,790,88,47.6827,-122.31,1590.0,3264,15,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
36,550000.0,4,1.0,1660.0,34848.0,1.0,0,5,930.0,730,85,47.6621,-122.132,2160.0,11467,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,640000.0,4,2.0,2360.0,6000.0,2.0,0,8,2360.0,0,114,47.6702,-122.36200000000001,1730.0,4700,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
38,240000.0,4,1.0,1220.0,8075.0,1.0,0,7,890.0,330,49,47.3341,-122.28200000000001,1290.0,7800,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39,605000.0,4,2.5,2620.0,7553.0,2.0,0,8,2620.0,0,22,47.5301,-122.18,2620.0,11884,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
40,625000.0,4,2.5,2570.0,5520.0,2.0,0,9,2570.0,0,18,47.6145,-122.027,2470.0,5669,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41,775000.0,4,2.25,4220.0,24186.0,1.0,0,8,2600.0,1620,34,47.445,-122.34700000000001,2410.0,30617,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
42,861990.0,5,2.75,3595.0,5639.0,2.0,0,9,3595.0,0,4,47.6848,-122.016,3625.0,5639,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
43,685000.0,3,1.0,1570.0,2280.0,2.0,0,7,1570.0,0,96,47.6413,-122.36399999999999,1580.0,2640,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
44,309000.0,3,1.0,1280.0,9656.0,1.0,0,6,920.0,360,59,47.4485,-122.175,1340.0,8808,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
45,488000.0,3,2.5,3160.0,13603.0,2.0,0,8,3160.0,0,15,47.7443,-121.977,3050.0,9232,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
46,210490.0,3,1.0,990.0,8528.0,1.0,0,6,990.0,0,52,47.3066,-122.37100000000001,1228.0,8840,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,785000.0,4,2.5,2290.0,13416.0,2.0,0,9,2290.0,0,37,47.6194,-122.15100000000001,2680.0,13685,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
48,450000.0,3,1.75,1250.0,5963.0,1.0,0,7,1250.0,0,65,47.6796,-122.301,970.0,5100,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
49,1129575.0,3,2.5,2753.0,65005.0,1.0,2,9,2165.0,588,65,47.4041,-122.45100000000001,2680.0,72513,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
50,228000.0,3,1.0,1190.0,9199.0,1.0,0,7,1190.0,0,63,47.4258,-122.322,1190.0,9364,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,345000.0,5,2.5,3150.0,9134.0,1.0,0,8,1640.0,1510,52,47.4934,-122.189,1990.0,9133,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
52,600000.0,3,1.75,1410.0,4080.0,1.0,0,7,1000.0,410,68,47.6808,-122.384,1410.0,4080,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
53,585000.0,2,1.75,1980.0,8550.0,1.0,0,7,990.0,990,37,47.6989,-122.369,1480.0,6738,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
54,920000.0,5,2.25,2730.0,6000.0,1.5,0,8,2130.0,600,91,47.6571,-122.281,2730.0,6000,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
55,885000.0,4,2.5,2830.0,5000.0,2.0,0,9,2830.0,0,23,47.6597,-122.29,1950.0,5000,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
56,292500.0,4,2.5,2250.0,4495.0,2.0,0,7,2250.0,0,10,47.3663,-122.11399999999999,2250.0,4500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
57,301000.0,3,2.5,2420.0,4750.0,2.0,0,8,2420.0,0,15,47.3663,-122.12200000000001,2690.0,4750,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58,951000.0,5,3.25,3250.0,14342.0,2.0,4,8,3250.0,0,50,47.588,-122.116,2960.0,11044,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
59,430000.0,4,3.0,1850.0,9976.0,2.0,0,8,1850.0,0,27,47.5059,-122.149,2270.0,8542,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
60,650000.0,3,2.25,2150.0,21235.0,1.0,3,8,1590.0,560,59,47.4336,-122.339,2570.0,18900,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
61,289000.0,3,1.75,1260.0,8400.0,1.0,0,7,1260.0,0,64,47.4366,-122.335,1290.0,8750,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,505000.0,3,1.75,2519.0,8690.0,2.0,0,8,2519.0,0,45,47.4428,-122.344,2500.0,9500,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
63,549000.0,3,1.75,1540.0,1044.0,3.0,0,8,1540.0,0,4,47.6765,-122.32,1580.0,3090,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
64,425000.0,3,2.25,1660.0,6000.0,1.0,0,7,1110.0,550,39,47.6113,-122.29700000000001,1440.0,4080,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
65,317625.0,3,2.75,2770.0,3809.0,1.5,0,7,1770.0,1000,93,47.5747,-122.304,1440.0,4000,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
66,975000.0,4,2.5,2720.0,11049.0,2.0,0,10,2720.0,0,29,47.5815,-122.19200000000001,2750.0,11049,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
67,287000.0,4,2.5,2240.0,4648.0,2.0,0,7,2240.0,0,13,47.3378,-122.257,2221.0,4557,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
68,204000.0,3,1.0,1000.0,12070.0,1.0,0,7,1000.0,0,50,47.3621,-122.11,1010.0,12635,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
69,1129575.0,5,2.25,3200.0,20158.0,1.0,0,8,1600.0,1600,53,47.6303,-122.215,3390.0,20158,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
70,1040000.0,5,3.25,4770.0,50094.0,1.0,0,10,3070.0,1700,45,47.6525,-122.16,3530.0,38917,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
71,325000.0,3,2.0,1260.0,5612.0,1.0,0,7,1260.0,0,46,47.7362,-122.179,1640.0,4745,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
